NC_000001.11	248956422
NC_000002.12	242193529
NC_000003.12	198295559
NC_000004.12	190214555
NC_000005.10	181538259
NC_000006.12	170805979
NC_000007.14	159345973
NC_000008.11	145138636
NC_000009.12	138394717
NC_000010.11	133797422
NC_000011.10	135086622
NC_000012.12	133275309
NC_000013.11	114364328
NC_000014.9	107043718
NC_000015.10	101991189
NC_000016.10	90338345
NC_000017.11	83257441
NC_000018.10	80373285
NC_000019.10	58617616
NC_000020.11	64444167
NC_000021.9	46709983
NC_000022.11	50818468
NC_000023.11	156040895
NC_000024.10	57227415
chrS2	985
chrS4	1014
chrS5	1015
chrS8	1079
chrS9	1037
chrS12	950
